"SelectedVars","N","test_auc_mean","test_auc_std","best_nrounds","val_auc","time_secs"
"PersonalField58",96,0.814532,0.001925,147,0.817129705152999,15
"PersonalField59",97,0.813217,0.00224,144,0.816067195442413,15
"PersonalField60",98,0.813476,0.002239,143,0.816629259505303,15
"PersonalField61",99,0.813728,0.002135,146,0.816877542149552,15
"PersonalField62",100,0.814394,0.00236,150,0.817652502533392,14
"PersonalField63",101,0.813718,0.002133,149,0.816992604333427,15
"PersonalField64",102,0.812226,0.002157,147,0.815138631289381,14
"PersonalField65",103,0.812404,0.001995,147,0.815151649878103,14
"PersonalField66",104,0.812532,0.00197,143,0.815200028377385,14
"PersonalField67",105,0.812643,0.001896,147,0.815260574088322,14
"PersonalField68",106,0.812532,0.00197,143,0.815198916728796,14
"PersonalField69",107,0.812226,0.002157,147,0.814911782101342,14
"PersonalField70",108,0.812226,0.002157,147,0.815118118615977,14
"PersonalField71",109,0.812265,0.00213,147,0.815189437639976,14
"PersonalField72",110,0.812502,0.002148,146,0.815320095293432,14
"PersonalField73",111,0.812265,0.00213,147,0.815191531958154,14
"PersonalField74",112,0.81388,0.002148,143,0.816716073746149,15
"PersonalField75",113,0.816842,0.002055,143,0.819275170540948,15
"PersonalField76",114,0.820291,0.001886,149,0.822433061301369,15
"PersonalField77",115,0.82044,0.001976,125,0.822372124990356,15
"PersonalField78",116,0.820805,0.001838,143,0.822784119192937,15
"PersonalField79",117,0.819747,0.00158,143,0.823276828028658,15
"PersonalField80",118,0.821991,0.001639,147,0.825389694312116,15
"PersonalField81",119,0.823804,0.001218,147,0.82728500155851,15
"PersonalField82",120,0.82715,0.001576,144,0.830690206174738,15
"PersonalField83",121,0.823862,0.001259,147,0.827305137320192,15
"PersonalField84",122,0.815646,0.002531,104,0.818563555811237,15
"PropertyField1A",123,0.831767,0.001885,149,0.833205859796688,18
"PropertyField1B",124,0.831645,0.001522,150,0.83280461982059,18
"PropertyField2A",125,0.813202,0.002097,143,0.816314850928692,15
"PropertyField2B",126,0.81696,0.002852,150,0.821313952560084,18
"PropertyField3",127,0.813664,0.002558,141,0.816274978488327,15
"PropertyField4",128,0.813712,0.002503,147,0.816288287809979,15
"PropertyField5",129,0.812226,0.002157,147,0.814957173647523,14
"PropertyField7",130,0.840959,0.00103,150,0.843387112406282,17
"PropertyField8",131,0.827479,0.002339,149,0.829311476783336,15
"PropertyField9",132,0.812226,0.002157,147,0.814911782101342,14
"PropertyField10",133,0.812288,0.002168,149,0.815043747667394,15
"PropertyField11A",134,0.81275,0.00233,143,0.815420834253483,15
"PropertyField11B",135,0.82146,0.00196,149,0.82369605450205,16
"PropertyField12",136,0.828416,0.002668,149,0.830382181769363,16
"PropertyField13",137,0.826951,0.002029,149,0.828224811947598,16
"PropertyField14",138,0.818772,0.002447,150,0.820965753413792,15
"PropertyField15",139,0.831009,0.001307,148,0.832170763232325,16
"PropertyField16A",140,0.819969,0.003321,150,0.822579990166394,18
"PropertyField16B",141,0.819745,0.003233,149,0.822919172928792,18
