SelectedVars,N,test_auc_mean,test_auc_std,best_nrounds,val_auc,time_secs,Avg_AUC,Max_Diff,MissingValues,UniqueCount
GeographicField61B,285,0.941846,8.30E-05,135,0.941977231,26,0.941912,0.005784,12,24
GeographicField39A,240,0.94173,9.80E-05,118,0.942078631,25,0.941904,0.005791,95,25
SalesField7,30,0.94186,0.000158,148,0.941943335,25,0.941902,0.005794,0,7
GeographicField29A,220,0.941775,0.000116,111,0.942006647,25,0.941891,0.005804,8,25
PropertyField2B,123,0.941797,1.10E-05,138,0.941975934,25,0.941886,0.005809,0,21
GeographicField4A,171,0.941778,5.20E-05,118,0.941978106,26,0.941878,0.005817,0,25
GeographicField59B,281,0.941726,0.000142,129,0.942026322,25,0.941876,0.005819,2,25
GeographicField54B,271,0.941818,9.80E-05,84,0.941922451,24,0.941870,0.005825,1544,25
GeographicField59A,280,0.941764,0.000133,134,0.941976188,26,0.941870,0.005825,2,25
GeographicField39B,241,0.941763,3.80E-05,112,0.941971401,25,0.941867,0.005828,95,25
day,292,0.941845,0.000183,115,0.941809005,23,0.941827,0.005868,0,31
GeographicField29B,221,0.941678,8.20E-05,114,0.941945098,25,0.941812,0.005884,8,25
GeographicField57A,276,0.941826,3.30E-05,113,0.941793203,25,0.941810,0.005886,11,25
GeographicField31B,225,0.941786,6.50E-05,117,0.941807466,25,0.941797,0.005898,194,25
GeographicField31A,224,0.941819,0.000119,115,0.941719213,25,0.941769,0.005926,194,25
GeographicField57B,277,0.941811,0.000107,114,0.941699162,25,0.941755,0.005940,11,25
GeographicField54A,270,0.9417,9.90E-05,116,0.941798375,25,0.941749,0.005946,1544,25
SalesField8,31,0.941421,9.90E-05,128,0.941903071,26,0.941662,0.006033,0,61530
