"SelectedVars","N","test_auc_mean","test_auc_std","best_nrounds","val_auc","time_secs","Avg_AUC","Max_Diff","MissingValues","UniqueCount"
"GeographicField40A",241,0.947951,0.000229,76,0.947688195545229,24,0.947819597772614,0.00344952089399131,2,25
"PersonalField5",41,0.947877,0.000209,110,0.94775590739873,25,0.947816453699365,0.0034526649672405,0,9
"GeographicField34A",229,0.947856,0.000302,87,0.947760716252483,24,0.947808358126242,0.00346076054036404,12,25
"GeographicField60B",282,0.947818,0.000177,76,0.947798163540646,25,0.947808081770323,0.00346103689628263,12,25
"GeographicField42B",246,0.947897,0.000314,76,0.94771813891623,25,0.947807569458115,0.00346154920849062,2,25
"GeographicField48A",257,0.947785,0.000247,64,0.947827981210142,25,0.947806490605071,0.00346262806153452,1248,25
"GeographicField28B",218,0.947786,0.000344,79,0.947826204037633,25,0.947806102018817,0.00346301664778903,5,25
"GeographicField53B",268,0.947737,0.000186,79,0.947874767233298,25,0.947805883616649,0.0034632350499566,1248,25
"PersonalField38",72,0.947829,0.000237,92,0.947773836057908,24,0.947801418028954,0.00346770063765145,0,6
"GeographicField56B",274,0.947726,0.000207,77,0.947875886208048,25,0.947800943104024,0.00346817556258183,1553,24
"GeographicField49B",260,0.947734,0.000198,76,0.947866062982437,25,0.947800031491218,0.00346908717538708,1248,25
"GeographicField42A",245,0.947929,0.000213,79,0.947670706455732,25,0.947799853227866,0.00346926543873971,2,25
"Field10",4,0.94788,0.000168,107,0.947717561884627,24,0.947798780942313,0.00347033772429217,0,8
"GeographicField55A",271,0.94776,0.000233,76,0.94783298054409,25,0.947796490272045,0.00347262839456053,1553,25
"PropertyField12",132,0.947864,0.000312,77,0.947725788778238,24,0.947794894389119,0.00347422427748678,0,7
"CoverageField1A",7,0.94785,0.000164,78,0.947737483452486,25,0.947793741726243,0.0034753769403626,362,25
"GeographicField28A",217,0.947805,0.000218,82,0.947777635829331,25,0.947791317914666,0.00347780075193982,5,25
"Field9",3,0.947919,0.000206,100,0.94766332534817,26,0.947791162674085,0.00347795599252076,0,5
"GeographicField49A",259,0.947733,0.000266,66,0.947848540539627,24,0.947790770269813,0.00347834839679229,1248,25
